PRODUCT,QUANTITY,PER UNIT COST,TOTAL COST ,PRODUCT LINK
,,,,
Raspberry Pi Pico,1,4$,4$,https://robu.in/product/raspberry-pi-pico/
,,,,
Waveshare 2 inch LD,1,10.40$,14.40$,https://robu.in/product/waveshare-2-inch-lcd-display-module-240x320/
,,,,
TP4056 ( Charging IC ),1,0.13$,14.53$,https://robu.in/product/1-month-warranty-1253/
,,,,
MMBT2222A ( Transistor ),1,0.02$,14.55$,https://robu.in/product/mmbt2222a-tp-mcc-40v-350mw-100150ma10v-600ma-npn-sot-23-bipolar-bjt-rohs/
,,,,
Diodes,3,0.03$,14.64$,https://robu.in/product/ss12-slkor-20v-500mv1a-1a-smado-214ac-schottky-diodes-rohs/
,,,,
Resistors,8,0.03$,14.88$,https://robu.in/product/rt0805brd071kl-yageo-125mw-thin-film-resistor-150v-%c2%b125ppm-%e2%84%83-%c2%b10-1-1k%cf%89-0805-chip-resistor-surface-mount-rohs/
,,,,
Capacitor,3,0.01$,14.91$,https://robu.in/product/100nf-0805-surface-mount-multilayer-ceramic-capacitor-pack-of-40/
,,,,
PCB,5(minimum),2$,25.67$,https://jlpcb.com
,,,,
LED,4,0.01$,25.70$,https://robu.in/product/0805-surface-mount-led-yellow/
,,,,
Tactile Switches,10,0.01$,25.87$,https://robu.in/product/6x6x5-tactile-push-button-switch/
,,,,
Slide Switch,1,0.07$,26$,https://robu.in/product/1-month-warranty-257/
,,,,
External Header,1,0.50$,26.50$,https://robu.in/product/ds1030-02-2x6p8bva1-b-connfly-2x6-pin-2-00mm-pin-header-double-row-stack-v-t-type/
,,,,
Buzzer,1,0.50$,27$,https://robu.in/product/1-month-warranty-1231/
,,,,
LiPo Cell 3.7V Battery,1,4$,31$,https://robu.in/product/950mah-pcm-protected-micro-li-po-battery/
,,,,
SD Card Reader,1,0.50$,31.50$,
,,,,
3D Printing,,3-4$,35$,
,,,,
,,Total,35$ Approx!,
